id	domain	question	A	B	C	D	answer	explanation	simpleExplanation	whyCorrect	whyIncorrect	fullExplanation
66	Zero trust, IAM and AAA	Quentin wants to deploy a single sign-on system to allow his users to log in to cloud services. Which of the following technologies is he most likely to deploy?	OpenID	Kerberos	LDAP	TACACS+	A	OpenID Connect is commonly used for cloud single sign-on and identity federation.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to OpenID. In simple words, OpenID Connect is commonly used for cloud single sign-on and identity federation.	OpenID Connect is commonly used for cloud single sign-on and identity federation.	"{""B"": ""Kerberos uses tickets, including ticket-granting tickets, for authentication. It is not the best answer here because the scenario is specifically pointing to OpenID. Kerberos is common on internal enterprise networks, LDAP is directory access, and TACACS+ is network-device AAA; cloud SSO commonly uses OpenID Connect."", ""C"": ""LDAP is a directory access protocol. It is not itself an SSO protocol for cloud applications. It is not the best answer here because the scenario is specifically pointing to OpenID. Kerberos is common on internal enterprise networks, LDAP is directory access, and TACACS+ is network-device AAA; cloud SSO commonly uses OpenID Connect."", ""D"": ""TACACS+ is an AAA protocol often associated with network device administration. It is not the best answer here because the scenario is specifically pointing to OpenID. Kerberos is common on internal enterprise networks, LDAP is directory access, and TACACS+ is network-device AAA; cloud SSO commonly uses OpenID Connect.""}"	"The correct answer is A. OpenID.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to OpenID. In simple words, OpenID Connect is commonly used for cloud single sign-on and identity federation.

Why this answer is correct:
OpenID Connect is commonly used for cloud single sign-on and identity federation.

Why the other options are incorrect:
B. Kerberos: Kerberos uses tickets, including ticket-granting tickets, for authentication. It is not the best answer here because the scenario is specifically pointing to OpenID. Kerberos is common on internal enterprise networks, LDAP is directory access, and TACACS+ is network-device AAA; cloud SSO commonly uses OpenID Connect.
C. LDAP: LDAP is a directory access protocol. It is not itself an SSO protocol for cloud applications. It is not the best answer here because the scenario is specifically pointing to OpenID. Kerberos is common on internal enterprise networks, LDAP is directory access, and TACACS+ is network-device AAA; cloud SSO commonly uses OpenID Connect.
D. TACACS+: TACACS+ is an AAA protocol often associated with network device administration. It is not the best answer here because the scenario is specifically pointing to OpenID. Kerberos is common on internal enterprise networks, LDAP is directory access, and TACACS+ is network-device AAA; cloud SSO commonly uses OpenID Connect."
67	Security controls and operations	Marty wants to deploy a corrective control to deal with a recently compromised system. Which of the following would be considered a corrective control?	Patching the vulnerability that allowed the compromise to occur	Deploying full-disk encryption	Deploying an endpoint detection and response (EDR) tool	Enabling logging and sending logs to a SIEM	A	Patching the vulnerability after compromise corrects the weakness that allowed the incident.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Patching the vulnerability that allowed the compromise to occur. In simple words, Patching the vulnerability after compromise corrects the weakness that allowed the incident.	Patching the vulnerability after compromise corrects the weakness that allowed the incident.	"{""B"": ""Full-disk encryption protects an entire disk when the device is off or locked. It is mainly device-loss protection, not granular per-file control. It is not the best answer here because the scenario is specifically pointing to Patching the vulnerability that allowed the compromise to occur. FDE is unrelated protection, EDR/logging are detective/monitoring controls; patching after compromise corrects the vulnerability."", ""C"": ""This option describes Deploying an endpoint detection and response (EDR) tool. It is not the best answer here because the scenario is specifically pointing to Patching the vulnerability that allowed the compromise to occur. FDE is unrelated protection, EDR/logging are detective/monitoring controls; patching after compromise corrects the vulnerability."", ""D"": ""This option describes Enabling logging and sending logs to a SIEM. It is not the best answer here because the scenario is specifically pointing to Patching the vulnerability that allowed the compromise to occur. FDE is unrelated protection, EDR/logging are detective/monitoring controls; patching after compromise corrects the vulnerability.""}"	"The correct answer is A. Patching the vulnerability that allowed the compromise to occur.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Patching the vulnerability that allowed the compromise to occur. In simple words, Patching the vulnerability after compromise corrects the weakness that allowed the incident.

Why this answer is correct:
Patching the vulnerability after compromise corrects the weakness that allowed the incident.

Why the other options are incorrect:
B. Deploying full-disk encryption: Full-disk encryption protects an entire disk when the device is off or locked. It is mainly device-loss protection, not granular per-file control. It is not the best answer here because the scenario is specifically pointing to Patching the vulnerability that allowed the compromise to occur. FDE is unrelated protection, EDR/logging are detective/monitoring controls; patching after compromise corrects the vulnerability.
C. Deploying an endpoint detection and response (EDR) tool: This option describes Deploying an endpoint detection and response (EDR) tool. It is not the best answer here because the scenario is specifically pointing to Patching the vulnerability that allowed the compromise to occur. FDE is unrelated protection, EDR/logging are detective/monitoring controls; patching after compromise corrects the vulnerability.
D. Enabling logging and sending logs to a SIEM: This option describes Enabling logging and sending logs to a SIEM. It is not the best answer here because the scenario is specifically pointing to Patching the vulnerability that allowed the compromise to occur. FDE is unrelated protection, EDR/logging are detective/monitoring controls; patching after compromise corrects the vulnerability."
68	Cryptography, PKI and data protection	What important encryption feature is not supported by symmetric encryption?	Confidentiality	Integrity	Nonrepudiation	Authentication	C	Because symmetric encryption uses a shared key, it does not provide strong nonrepudiation.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Nonrepudiation. In simple words, Because symmetric encryption uses a shared key, it does not provide strong nonrepudiation.	Because symmetric encryption uses a shared key, it does not provide strong nonrepudiation.	"{""A"": ""Confidentiality means information is protected from unauthorized disclosure. It is not the best answer here because the scenario is specifically pointing to Nonrepudiation. Symmetric encryption can provide confidentiality and sometimes integrity/authentication with proper modes, but because the key is shared it cannot prove one specific sender for nonrepudiation."", ""B"": ""Integrity means data remains accurate, complete, and unauthorized changes are prevented or detectable. It is not the best answer here because the scenario is specifically pointing to Nonrepudiation. Symmetric encryption can provide confidentiality and sometimes integrity/authentication with proper modes, but because the key is shared it cannot prove one specific sender for nonrepudiation."", ""D"": ""This option describes Authentication. It is not the best answer here because the scenario is specifically pointing to Nonrepudiation. Symmetric encryption can provide confidentiality and sometimes integrity/authentication with proper modes, but because the key is shared it cannot prove one specific sender for nonrepudiation.""}"	"The correct answer is C. Nonrepudiation.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Nonrepudiation. In simple words, Because symmetric encryption uses a shared key, it does not provide strong nonrepudiation.

Why this answer is correct:
Because symmetric encryption uses a shared key, it does not provide strong nonrepudiation.

Why the other options are incorrect:
A. Confidentiality: Confidentiality means information is protected from unauthorized disclosure. It is not the best answer here because the scenario is specifically pointing to Nonrepudiation. Symmetric encryption can provide confidentiality and sometimes integrity/authentication with proper modes, but because the key is shared it cannot prove one specific sender for nonrepudiation.
B. Integrity: Integrity means data remains accurate, complete, and unauthorized changes are prevented or detectable. It is not the best answer here because the scenario is specifically pointing to Nonrepudiation. Symmetric encryption can provide confidentiality and sometimes integrity/authentication with proper modes, but because the key is shared it cannot prove one specific sender for nonrepudiation.
D. Authentication: This option describes Authentication. It is not the best answer here because the scenario is specifically pointing to Nonrepudiation. Symmetric encryption can provide confidentiality and sometimes integrity/authentication with proper modes, but because the key is shared it cannot prove one specific sender for nonrepudiation."
69	Cryptography, PKI and data protection	Theresa wants to use a cloud-hosted security solution that will allow her to safely store and manage secrets. What type of solution should she select?	A TPM	A CA	A KMS	A CSR	C	A cloud key management service is used to store and manage secrets and cryptographic keys.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A KMS. In simple words, A cloud key management service is used to store and manage secrets and cryptographic keys.	A cloud key management service is used to store and manage secrets and cryptographic keys.	"{""A"": ""A TPM is a hardware security component used to generate, store, and protect cryptographic keys and support trusted platform functions. It is not the best answer here because the scenario is specifically pointing to A KMS. TPM is local hardware, CA issues certificates, and CSR requests a certificate; KMS manages secrets/keys in cloud environments."", ""B"": ""This option describes A CA. It is not the best answer here because the scenario is specifically pointing to A KMS. TPM is local hardware, CA issues certificates, and CSR requests a certificate; KMS manages secrets/keys in cloud environments."", ""D"": ""A certificate signing request is sent to a certificate authority to request a certificate and includes identity information and a public key. It is not the best answer here because the scenario is specifically pointing to A KMS. TPM is local hardware, CA issues certificates, and CSR requests a certificate; KMS manages secrets/keys in cloud environments.""}"	"The correct answer is C. A KMS.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A KMS. In simple words, A cloud key management service is used to store and manage secrets and cryptographic keys.

Why this answer is correct:
A cloud key management service is used to store and manage secrets and cryptographic keys.

Why the other options are incorrect:
A. A TPM: A TPM is a hardware security component used to generate, store, and protect cryptographic keys and support trusted platform functions. It is not the best answer here because the scenario is specifically pointing to A KMS. TPM is local hardware, CA issues certificates, and CSR requests a certificate; KMS manages secrets/keys in cloud environments.
B. A CA: This option describes A CA. It is not the best answer here because the scenario is specifically pointing to A KMS. TPM is local hardware, CA issues certificates, and CSR requests a certificate; KMS manages secrets/keys in cloud environments.
D. A CSR: A certificate signing request is sent to a certificate authority to request a certificate and includes identity information and a public key. It is not the best answer here because the scenario is specifically pointing to A KMS. TPM is local hardware, CA issues certificates, and CSR requests a certificate; KMS manages secrets/keys in cloud environments."
70	Cryptography, PKI and data protection	Joanna is reviewing her account information on an e-commerce website and sees her credit card number displayed as XXXX-XXXX-XXXX-1234. What type of data obfuscation is in use?	Hashing	Data masking	Field encryption	Tokenization	B	Showing only the last four digits is data masking.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Data masking. In simple words, Showing only the last four digits is data masking.	Showing only the last four digits is data masking.	"{""A"": ""This option describes Hashing. It is not the best answer here because the scenario is specifically pointing to Data masking. Hashing is one-way, field encryption encrypts, and tokenization substitutes a token; showing XXXX except the last four digits is masking."", ""C"": ""This option describes Field encryption. It is not the best answer here because the scenario is specifically pointing to Data masking. Hashing is one-way, field encryption encrypts, and tokenization substitutes a token; showing XXXX except the last four digits is masking."", ""D"": ""Tokenization replaces sensitive data with a token that maps back to the original value through a secure lookup system. It is not the best answer here because the scenario is specifically pointing to Data masking. Hashing is one-way, field encryption encrypts, and tokenization substitutes a token; showing XXXX except the last four digits is masking.""}"	"The correct answer is B. Data masking.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Data masking. In simple words, Showing only the last four digits is data masking.

Why this answer is correct:
Showing only the last four digits is data masking.

Why the other options are incorrect:
A. Hashing: This option describes Hashing. It is not the best answer here because the scenario is specifically pointing to Data masking. Hashing is one-way, field encryption encrypts, and tokenization substitutes a token; showing XXXX except the last four digits is masking.
C. Field encryption: This option describes Field encryption. It is not the best answer here because the scenario is specifically pointing to Data masking. Hashing is one-way, field encryption encrypts, and tokenization substitutes a token; showing XXXX except the last four digits is masking.
D. Tokenization: Tokenization replaces sensitive data with a token that maps back to the original value through a secure lookup system. It is not the best answer here because the scenario is specifically pointing to Data masking. Hashing is one-way, field encryption encrypts, and tokenization substitutes a token; showing XXXX except the last four digits is masking."
71	Cryptography, PKI and data protection	Amanda's organization wants to use a decentralized blockchain to store data. Which of the following is true about a decentralized blockchain?	No individual or group controls the blockchain.	Only cryptocurrency-related data can be stored in a blockchain.	Blockchain data can be changed after being stored by the original submitter.	Blockchain ledgers are stored on central servers chosen by regular elections among blockchain participants.	A	A decentralized blockchain has no single controlling individual or group.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to No individual or group controls the blockchain.. In simple words, A decentralized blockchain has no single controlling individual or group.	A decentralized blockchain has no single controlling individual or group.	"{""B"": ""A blockchain is a shared, append-only ledger where records are linked cryptographically and are intended to be immutable. It is not the best answer here because the scenario is specifically pointing to No individual or group controls the blockchain.. Blockchains can store non-cryptocurrency data, should not be altered after submission, and are not stored on elected central servers in a decentralized design."", ""C"": ""A blockchain is a shared, append-only ledger where records are linked cryptographically and are intended to be immutable. It is not the best answer here because the scenario is specifically pointing to No individual or group controls the blockchain.. Blockchains can store non-cryptocurrency data, should not be altered after submission, and are not stored on elected central servers in a decentralized design."", ""D"": ""A blockchain is a shared, append-only ledger where records are linked cryptographically and are intended to be immutable. It is not the best answer here because the scenario is specifically pointing to No individual or group controls the blockchain.. Blockchains can store non-cryptocurrency data, should not be altered after submission, and are not stored on elected central servers in a decentralized design.""}"	"The correct answer is A. No individual or group controls the blockchain..

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to No individual or group controls the blockchain.. In simple words, A decentralized blockchain has no single controlling individual or group.

Why this answer is correct:
A decentralized blockchain has no single controlling individual or group.

Why the other options are incorrect:
B. Only cryptocurrency-related data can be stored in a blockchain.: A blockchain is a shared, append-only ledger where records are linked cryptographically and are intended to be immutable. It is not the best answer here because the scenario is specifically pointing to No individual or group controls the blockchain.. Blockchains can store non-cryptocurrency data, should not be altered after submission, and are not stored on elected central servers in a decentralized design.
C. Blockchain data can be changed after being stored by the original submitter.: A blockchain is a shared, append-only ledger where records are linked cryptographically and are intended to be immutable. It is not the best answer here because the scenario is specifically pointing to No individual or group controls the blockchain.. Blockchains can store non-cryptocurrency data, should not be altered after submission, and are not stored on elected central servers in a decentralized design.
D. Blockchain ledgers are stored on central servers chosen by regular elections among blockchain participants.: A blockchain is a shared, append-only ledger where records are linked cryptographically and are intended to be immutable. It is not the best answer here because the scenario is specifically pointing to No individual or group controls the blockchain.. Blockchains can store non-cryptocurrency data, should not be altered after submission, and are not stored on elected central servers in a decentralized design."
72	Cryptography, PKI and data protection	What role does a subordinate CA have in a CA hierarchy?	Subordinate CAs issue certificates based on subdomains.	Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.	Subordinate CAs validate root CA activities to ensure auditability.	Subordinate CAs review certificate signing requests before forwarding them to the root CA.	B	A subordinate CA can issue certificates under a CA hierarchy without being the root CA.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. In simple words, A subordinate CA can issue certificates under a CA hierarchy without being the root CA.	A subordinate CA can issue certificates under a CA hierarchy without being the root CA.	"{""A"": ""Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. Subordinate CAs are not limited to subdomains, do not audit root CAs, and do not merely forward CSRs; they delegate certificate issuance under a hierarchy."", ""C"": ""This option describes Subordinate CAs validate root CA activities to ensure auditability. It is not the best answer here because the scenario is specifically pointing to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. Subordinate CAs are not limited to subdomains, do not audit root CAs, and do not merely forward CSRs; they delegate certificate issuance under a hierarchy."", ""D"": ""Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. Subordinate CAs are not limited to subdomains, do not audit root CAs, and do not merely forward CSRs; they delegate certificate issuance under a hierarchy.""}"	"The correct answer is B. Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA..

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. In simple words, A subordinate CA can issue certificates under a CA hierarchy without being the root CA.

Why this answer is correct:
A subordinate CA can issue certificates under a CA hierarchy without being the root CA.

Why the other options are incorrect:
A. Subordinate CAs issue certificates based on subdomains.: Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. Subordinate CAs are not limited to subdomains, do not audit root CAs, and do not merely forward CSRs; they delegate certificate issuance under a hierarchy.
C. Subordinate CAs validate root CA activities to ensure auditability.: This option describes Subordinate CAs validate root CA activities to ensure auditability. It is not the best answer here because the scenario is specifically pointing to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. Subordinate CAs are not limited to subdomains, do not audit root CAs, and do not merely forward CSRs; they delegate certificate issuance under a hierarchy.
D. Subordinate CAs review certificate signing requests before forwarding them to the root CA.: Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to Subordinate CAs provide control over certificate issuance while avoiding the cost of being a root CA.. Subordinate CAs are not limited to subdomains, do not audit root CAs, and do not merely forward CSRs; they delegate certificate issuance under a hierarchy."
73	Physical security and controls	Which of the following sensor types is commonly used to detect footsteps?	Infrared	Pressure	Microwave	Ultrasonic	B	Pressure sensors can detect footsteps or weight on a surface.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Pressure. In simple words, Pressure sensors can detect footsteps or weight on a surface.	Pressure sensors can detect footsteps or weight on a surface.	"{""A"": ""Infrared sensors commonly detect heat or motion and are often used for motion detection in rooms. It is not the best answer here because the scenario is specifically pointing to Pressure. Infrared detects heat/motion, microwave and ultrasonic detect movement using waves; pressure sensors detect weight/footsteps."", ""C"": ""Microwave sensors detect motion and can penetrate some materials, but may be more sensitive or problematic in some environments. It is not the best answer here because the scenario is specifically pointing to Pressure. Infrared detects heat/motion, microwave and ultrasonic detect movement using waves; pressure sensors detect weight/footsteps."", ""D"": ""Ultrasonic sensors use sound waves to detect movement or presence. It is not the best answer here because the scenario is specifically pointing to Pressure. Infrared detects heat/motion, microwave and ultrasonic detect movement using waves; pressure sensors detect weight/footsteps.""}"	"The correct answer is B. Pressure.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Pressure. In simple words, Pressure sensors can detect footsteps or weight on a surface.

Why this answer is correct:
Pressure sensors can detect footsteps or weight on a surface.

Why the other options are incorrect:
A. Infrared: Infrared sensors commonly detect heat or motion and are often used for motion detection in rooms. It is not the best answer here because the scenario is specifically pointing to Pressure. Infrared detects heat/motion, microwave and ultrasonic detect movement using waves; pressure sensors detect weight/footsteps.
C. Microwave: Microwave sensors detect motion and can penetrate some materials, but may be more sensitive or problematic in some environments. It is not the best answer here because the scenario is specifically pointing to Pressure. Infrared detects heat/motion, microwave and ultrasonic detect movement using waves; pressure sensors detect weight/footsteps.
D. Ultrasonic: Ultrasonic sensors use sound waves to detect movement or presence. It is not the best answer here because the scenario is specifically pointing to Pressure. Infrared detects heat/motion, microwave and ultrasonic detect movement using waves; pressure sensors detect weight/footsteps."
74	Security controls and operations	Which of the following is not a managerial control?	Risk assessments	Including security in change management processes	Security planning exercises	Implementing firewalls	D	Firewalls are technical controls, not managerial controls.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Implementing firewalls. In simple words, Firewalls are technical controls, not managerial controls.	Firewalls are technical controls, not managerial controls.	"{""A"": ""This option describes Risk assessments. It is not the best answer here because the scenario is specifically pointing to Implementing firewalls. Risk assessment, security change management, and planning are governance/managerial; firewalls are technical controls."", ""B"": ""This option describes Including security in change management processes. It is not the best answer here because the scenario is specifically pointing to Implementing firewalls. Risk assessment, security change management, and planning are governance/managerial; firewalls are technical controls."", ""C"": ""This option describes Security planning exercises. It is not the best answer here because the scenario is specifically pointing to Implementing firewalls. Risk assessment, security change management, and planning are governance/managerial; firewalls are technical controls.""}"	"The correct answer is D. Implementing firewalls.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Implementing firewalls. In simple words, Firewalls are technical controls, not managerial controls.

Why this answer is correct:
Firewalls are technical controls, not managerial controls.

Why the other options are incorrect:
A. Risk assessments: This option describes Risk assessments. It is not the best answer here because the scenario is specifically pointing to Implementing firewalls. Risk assessment, security change management, and planning are governance/managerial; firewalls are technical controls.
B. Including security in change management processes: This option describes Including security in change management processes. It is not the best answer here because the scenario is specifically pointing to Implementing firewalls. Risk assessment, security change management, and planning are governance/managerial; firewalls are technical controls.
C. Security planning exercises: This option describes Security planning exercises. It is not the best answer here because the scenario is specifically pointing to Implementing firewalls. Risk assessment, security change management, and planning are governance/managerial; firewalls are technical controls."
75	Cryptography, PKI and data protection	What purpose do third-party certificates serve for customers of cloud services?	They reduce costs by using bring-your-own certificates.	They allow certificates for domains other than the service provider's domain.	They provide control over cryptographic security for the customer.	They allow more flexibility in TLS version selection.	B	Third-party certificates let cloud customers use certificates for their own domains rather than only the provider domain.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to They allow certificates for domains other than the service provider's domain.. In simple words, Third-party certificates let cloud customers use certificates for their own domains rather than only the provider domain.	Third-party certificates let cloud customers use certificates for their own domains rather than only the provider domain.	"{""A"": ""Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to They allow certificates for domains other than the service provider's domain.. The purpose is not mainly cost reduction, customer cryptographic control, or TLS version flexibility; it allows customers to use certs for their own domains on cloud services."", ""C"": ""This option describes They provide control over cryptographic security for the customer. It is not the best answer here because the scenario is specifically pointing to They allow certificates for domains other than the service provider's domain.. The purpose is not mainly cost reduction, customer cryptographic control, or TLS version flexibility; it allows customers to use certs for their own domains on cloud services."", ""D"": ""This option describes They allow more flexibility in TLS version selection. It is not the best answer here because the scenario is specifically pointing to They allow certificates for domains other than the service provider's domain.. The purpose is not mainly cost reduction, customer cryptographic control, or TLS version flexibility; it allows customers to use certs for their own domains on cloud services.""}"	"The correct answer is B. They allow certificates for domains other than the service provider's domain..

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to They allow certificates for domains other than the service provider's domain.. In simple words, Third-party certificates let cloud customers use certificates for their own domains rather than only the provider domain.

Why this answer is correct:
Third-party certificates let cloud customers use certificates for their own domains rather than only the provider domain.

Why the other options are incorrect:
A. They reduce costs by using bring-your-own certificates.: Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to They allow certificates for domains other than the service provider's domain.. The purpose is not mainly cost reduction, customer cryptographic control, or TLS version flexibility; it allows customers to use certs for their own domains on cloud services.
C. They provide control over cryptographic security for the customer.: This option describes They provide control over cryptographic security for the customer. It is not the best answer here because the scenario is specifically pointing to They allow certificates for domains other than the service provider's domain.. The purpose is not mainly cost reduction, customer cryptographic control, or TLS version flexibility; it allows customers to use certs for their own domains on cloud services.
D. They allow more flexibility in TLS version selection.: This option describes They allow more flexibility in TLS version selection. It is not the best answer here because the scenario is specifically pointing to They allow certificates for domains other than the service provider's domain.. The purpose is not mainly cost reduction, customer cryptographic control, or TLS version flexibility; it allows customers to use certs for their own domains on cloud services."
76	Cryptography, PKI and data protection	Which of the following is not a common control focused on availability?	Uninterruptible power systems	Redundant Internet connectivity	Disk encryption	Load balancers	C	Disk encryption protects confidentiality, not availability.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Disk encryption. In simple words, Disk encryption protects confidentiality, not availability.	Disk encryption protects confidentiality, not availability.	"{""A"": ""This option describes Uninterruptible power systems. It is not the best answer here because the scenario is specifically pointing to Disk encryption. UPS, redundant links, and load balancers support service availability; disk encryption protects confidentiality."", ""B"": ""Redundant Internet connectivity improves availability by providing another path if one fails. It is not the best answer here because the scenario is specifically pointing to Disk encryption. UPS, redundant links, and load balancers support service availability; disk encryption protects confidentiality."", ""D"": ""Load balancers distribute traffic across systems and can improve availability. It is not the best answer here because the scenario is specifically pointing to Disk encryption. UPS, redundant links, and load balancers support service availability; disk encryption protects confidentiality.""}"	"The correct answer is C. Disk encryption.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Disk encryption. In simple words, Disk encryption protects confidentiality, not availability.

Why this answer is correct:
Disk encryption protects confidentiality, not availability.

Why the other options are incorrect:
A. Uninterruptible power systems: This option describes Uninterruptible power systems. It is not the best answer here because the scenario is specifically pointing to Disk encryption. UPS, redundant links, and load balancers support service availability; disk encryption protects confidentiality.
B. Redundant Internet connectivity: Redundant Internet connectivity improves availability by providing another path if one fails. It is not the best answer here because the scenario is specifically pointing to Disk encryption. UPS, redundant links, and load balancers support service availability; disk encryption protects confidentiality.
D. Load balancers: Load balancers distribute traffic across systems and can improve availability. It is not the best answer here because the scenario is specifically pointing to Disk encryption. UPS, redundant links, and load balancers support service availability; disk encryption protects confidentiality."
77	Security controls and operations	What term describes a collection of honeypots on a network intended to capture information about cybersecurity threats?	A honeyfarm	A honeynet	A honeycluster	A darknet	B	A honeynet is a network of honeypots used to study attacker behavior.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A honeynet. In simple words, A honeynet is a network of honeypots used to study attacker behavior.	A honeynet is a network of honeypots used to study attacker behavior.	"{""A"": ""This option describes A honeyfarm. It is not the best answer here because the scenario is specifically pointing to A honeynet. Honeyfarm/honeycluster are not the standard Security+ term here and darknet is a different concept; honeynet is a network of honeypots."", ""C"": ""This option describes A honeycluster. It is not the best answer here because the scenario is specifically pointing to A honeynet. Honeyfarm/honeycluster are not the standard Security+ term here and darknet is a different concept; honeynet is a network of honeypots."", ""D"": ""This option describes A darknet. It is not the best answer here because the scenario is specifically pointing to A honeynet. Honeyfarm/honeycluster are not the standard Security+ term here and darknet is a different concept; honeynet is a network of honeypots.""}"	"The correct answer is B. A honeynet.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A honeynet. In simple words, A honeynet is a network of honeypots used to study attacker behavior.

Why this answer is correct:
A honeynet is a network of honeypots used to study attacker behavior.

Why the other options are incorrect:
A. A honeyfarm: This option describes A honeyfarm. It is not the best answer here because the scenario is specifically pointing to A honeynet. Honeyfarm/honeycluster are not the standard Security+ term here and darknet is a different concept; honeynet is a network of honeypots.
C. A honeycluster: This option describes A honeycluster. It is not the best answer here because the scenario is specifically pointing to A honeynet. Honeyfarm/honeycluster are not the standard Security+ term here and darknet is a different concept; honeynet is a network of honeypots.
D. A darknet: This option describes A darknet. It is not the best answer here because the scenario is specifically pointing to A honeynet. Honeyfarm/honeycluster are not the standard Security+ term here and darknet is a different concept; honeynet is a network of honeypots."
78	Physical security and controls	Skip wants to implement a deterrent control to prevent physical security issues for his organization. Which of the following controls should he select?	A fence	A generator	Access badges	A camera system	A	A fence is a physical deterrent because it discourages or delays unauthorized entry.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A fence. In simple words, A fence is a physical deterrent because it discourages or delays unauthorized entry.	A fence is a physical deterrent because it discourages or delays unauthorized entry.	"{""B"": ""This option describes A generator. It is not the best answer here because the scenario is specifically pointing to A fence. Generators support availability, badges control access, and cameras detect/record; fencing deters and delays physical intrusion."", ""C"": ""This option describes Access badges. It is not the best answer here because the scenario is specifically pointing to A fence. Generators support availability, badges control access, and cameras detect/record; fencing deters and delays physical intrusion."", ""D"": ""This option describes A camera system. It is not the best answer here because the scenario is specifically pointing to A fence. Generators support availability, badges control access, and cameras detect/record; fencing deters and delays physical intrusion.""}"	"The correct answer is A. A fence.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A fence. In simple words, A fence is a physical deterrent because it discourages or delays unauthorized entry.

Why this answer is correct:
A fence is a physical deterrent because it discourages or delays unauthorized entry.

Why the other options are incorrect:
B. A generator: This option describes A generator. It is not the best answer here because the scenario is specifically pointing to A fence. Generators support availability, badges control access, and cameras detect/record; fencing deters and delays physical intrusion.
C. Access badges: This option describes Access badges. It is not the best answer here because the scenario is specifically pointing to A fence. Generators support availability, badges control access, and cameras detect/record; fencing deters and delays physical intrusion.
D. A camera system: This option describes A camera system. It is not the best answer here because the scenario is specifically pointing to A fence. Generators support availability, badges control access, and cameras detect/record; fencing deters and delays physical intrusion."
